Compound_ID,SMILES,Seed,ipTM_zbtb11,pTM_zbtb11,pLDDT_zbtb11,Ranking_Score_zbtb11,Early_Stopped_zbtb11,Min_Dist_Angstrom_zbtb11,Dist_Status_zbtb11,Flagged_Greater_Than_10A_zbtb11,Fraction_Success_Under_10A_zbtb11,OpenMM_Minimized_Energy_kJ_mol_zbtb11
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,42,0.918717325,0.948231518,0.8614,0.9246,FALSE,3.1856728,Success,FALSE,1,-21266.51196
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,43,0.920325041,0.948916376,0.8615,0.926,FALSE,3.258232,Success,FALSE,1,-21107.48
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,44,0.925700605,0.950722277,0.8616,0.9307,FALSE,3.2427065,Success,FALSE,1,-22187.24015
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,45,0.928023338,0.951341331,0.8614,0.9327,FALSE,3.2173119,Success,FALSE,1,-21254.55552
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,46,0.92341882,0.949861705,0.8607,0.9287,FALSE,3.1910853,Success,FALSE,1,-21161.76354
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,47,0.922158301,0.949313521,0.8619,0.9276,FALSE,3.1692007,Success,FALSE,1,-21205.04726
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,48,0.921645403,0.949226916,0.8609,0.9272,FALSE,3.2662702,Success,FALSE,1,-21244.45655
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,49,0.926818311,0.951016009,0.8607,0.9317,FALSE,3.2008562,Success,FALSE,1,-21123.07223
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,50,0.920235991,0.948990941,0.8607,0.926,FALSE,3.2019222,Success,FALSE,1,-21312.48112
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,51,0.910855651,0.945838451,0.8602,0.9179,FALSE,3.1976504,Success,FALSE,1,-21071.86569
ALV-05-184,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,42,0.713393629,0.84254843,0.8574,0.7392,FALSE,2.2759614,Success,FALSE,0.1,-21813.16355
ALV-05-184,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,43,0.749928355,0.850807607,0.8592,0.7701,FALSE,15.319899,Success,TRUE,0.1,-21253.75326
ALV-05-184,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,44,0.729927063,0.853222072,0.8582,0.7546,FALSE,20.305702,Success,TRUE,0.1,-21935.47271
ALV-05-184,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,45,0.74629873,0.850033104,0.8578,0.767,FALSE,18.908092,Success,TRUE,0.1,-21953.17514
ALV-05-184,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,46,0.740251482,0.852398455,0.859,0.7627,FALSE,22.603577,Success,TRUE,0.1,-20837.31711
ALV-05-184,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,47,0.740872204,0.847983539,0.8576,0.7623,FALSE,20.851048,Success,TRUE,0.1,-20588.16771
ALV-05-184,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,48,0.732689381,0.84943527,0.8573,0.756,FALSE,18.017975,Success,TRUE,0.1,-21570.37452
ALV-05-184,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,49,0.739514291,0.852076709,0.8582,0.762,FALSE,16.943556,Success,TRUE,0.1,-21552.41441
ALV-05-184,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,50,0.727237999,0.851091266,0.8578,0.752,FALSE,17.96636,Success,TRUE,0.1,-21553.61781
ALV-05-184,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,51,0.73411262,0.84859401,0.8577,0.757,FALSE,16.282158,Success,TRUE,0.1,-21167.10829
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,42,0.727922559,0.849588692,0.8591,0.7523,FALSE,20.99593,Success,TRUE,0,-21455.3564
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,43,0.73778671,0.850059092,0.8591,0.7602,FALSE,19.566057,Success,TRUE,0,-21526.41539
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,44,0.729589462,0.849995553,0.8587,0.7537,FALSE,17.679258,Success,TRUE,0,-22479.9418
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,45,0.737027049,0.847520471,0.8585,0.7591,FALSE,18.530453,Success,TRUE,0,-21496.17459
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,46,0.736762166,0.850483,0.859,0.7595,FALSE,16.883577,Success,TRUE,0,-21436.17092
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,47,0.721695364,0.84913373,0.8581,0.7472,FALSE,19.172665,Success,TRUE,0,-21230.11223
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,48,0.743241012,0.848825574,0.8591,0.7644,FALSE,20.648996,Success,TRUE,0,-21984.19393
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,49,0.742240667,0.849534631,0.8596,0.7637,FALSE,23.312843,Success,TRUE,0,-21862.15299
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,50,0.73750025,0.850576997,0.8593,0.7601,FALSE,18.529404,Success,TRUE,0,-21234.45508
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,51,0.742667377,0.849559546,0.8591,0.764,FALSE,16.777866,Success,TRUE,0,-22410.05033
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,42,0.745425642,0.850778639,0.859,0.7665,FALSE,19.121254,Success,TRUE,0,-21527.53692
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,43,0.742211521,0.850537002,0.8573,0.7639,FALSE,17.374134,Success,TRUE,0,-20482.76525
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,44,0.731645644,0.851494908,0.8576,0.7556,FALSE,17.743673,Success,TRUE,0,-22086.34305
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,45,0.73569876,0.851858854,0.8585,0.7589,FALSE,16.585716,Success,TRUE,0,-21837.8745
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,46,0.749397516,0.849341273,0.8581,0.7694,FALSE,17.678967,Success,TRUE,0,-21373.80462
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,47,0.750721633,0.849716902,0.8581,0.7705,FALSE,20.930996,Success,TRUE,0,-22272.35011
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,48,0.740577459,0.850874245,0.8584,0.7626,FALSE,24.158115,Success,TRUE,0,-21509.27687
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,49,0.735402584,0.851382911,0.8585,0.7586,FALSE,21.999872,Success,TRUE,0,-20926.97949
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,50,0.730442464,0.84729147,0.858,0.7538,FALSE,16.809021,Success,TRUE,0,-21378.67494
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,51,0.727747619,0.852096915,0.8587,0.7526,FALSE,21.423489,Success,TRUE,0,-21944.25484
JWJ-01-208,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3,42,0.741472185,0.847092271,0.8594,0.7626,FALSE,17.132355,Success,TRUE,0.1,-21938.6255
JWJ-01-208,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3,43,0.734285831,0.849206805,0.8597,0.7573,FALSE,17.2792,Success,TRUE,0.1,-21795.91972
JWJ-01-208,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3,44,0.748760521,0.846928895,0.8593,0.7684,FALSE,20.958101,Success,TRUE,0.1,-21509.69433
