Endpoint,N_Valid_Points,RMSE,MAE,R²,Pearson_r
zbtb11_3nM,8,1.449,0.943,-0.27,-0.31
zbtb11_10nM,8,1.366,1.083,0.128,0.605
zbtb11_30nM,8,2.092,1.851,-5.822,0.163
zbtb11_100nM,8,5.478,4.303,-4.555,-0.617
zbtb11_300nM,8,4.942,4.23,-12.047,-0.1
zbtb11_1uM,8,7.109,5.612,-21.502,-0.056
zbtb11_3uM,8,6.221,4.873,-2.7,0.324
zbtb11_10uM,8,8.021,5.883,-2.267,0.302
zbtb11_30uM,8,9.236,6.445,0.604,0.861
zbtb11_100uM,8,23.81,19.133,0.25,0.907
ikzf1_3nM,8,6.707,3.795,-0.161,0.318
ikzf1_10nM,8,14.931,9.139,-0.257,0.022
ikzf1_30nM,8,23.386,15.697,-0.154,-0.026
ikzf1_100nM,8,26.972,18.544,-0.203,-0.033
ikzf1_300nM,8,29.524,22.375,-0.377,-0.241
ikzf1_1uM,8,28.415,24.072,-0.497,-0.286
ikzf1_3uM,8,28.188,24.647,-0.449,-0.322
ikzf1_10uM,8,27.177,24.643,-0.44,-0.233
ikzf1_30uM,8,28.335,25.84,-0.756,-0.346
ikzf1_100uM,8,27.827,24.471,-1.65,-0.351
