SMILES,Dataset,ZBTB11_pDC50,ZBTB11_Dmax,IKZF1_pDC50,IKZF1_Dmax,
CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,Train,6.619788758,70.52,7.397940009,82.7,ALV-alkyl
CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,Train,6.853871964,49.17,8,86.26,ALV-alkyl
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3,Train,6.26760624,51.81,7,77.21,ALV-alkyl
ClC1=C(C(F)(F)F)C=CC(CCNC(C2=CC=CC=C2)C3=CC=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=C3)=C1,Train,4.608888386,38.4,7.045757491,69.55,ALV-alkyl
CC(NCCCC1=CC(Cl)=C(C=C1)C(F)(F)F)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,Train,6.37675071,31.15,8,83.5,ALV-alkyl
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(S(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)(=O)=O)=CC=C3,Train,4.430158101,50.35,5.004803708,51.54,ALV-alkyl
CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=C(C)C=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,Train,,26.78,6.031517051,84.25,ALV-alkyl
CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=C(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)C=C2)C,Train,5.512861625,15.7,8,68.71,ALV-alkyl
CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC(C)=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,Train,4.990549104,45.9,6.214670165,41.11,ALV-alkyl
CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC(C)=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,Val,5.507239611,13.67,4.477555766,38.19,ALV-piperidine
ClC1=CC(CN2CCC(C3=CC(NC(C(N4C5CCC(NC5=O)=O)=O)=CC4=O)=CC=C3)CC2)=CC=C1C(F)(F)F,Val,4.085974348,23.92,,36.77,ALV-piperidine
O=C(N(C1CCC(NC1=O)=O)C2=O)C=C2NC3=CC=CC(C4CCN(CCC(C=C5)=CC(Cl)=C5C(F)(F)F)CC4)=C3,Val,5.251037139,34.02,6.045757491,60.76,ALV-piperidine
O=C(N(C1CCC(NC1=O)=O)C2=O)C=C2NC3=CC=CC(C4CCN(CCC(C=C5)=CC=C5C(F)(F)F)CC4)=C3,Val,5.342944147,16.34,6.602059991,48.92,ALV-piperidine
O=C(N(C1CCC(NC1=O)=O)C2=O)C=C2NC3=CC=CC(C4CCN(CCC(C=C5)=CC=C5C(F)(F)F)CC4)=C3,Val,4.623423043,46.61,5.920818754,53.65,ALV-piperidine
O=C(N1C2CCC(NC2=O)=O)C=C(NC3=CC=C(C4=CN(CC(C=C5)=CC(Cl)=C5C(F)(F)F)N=N4)C=C3)C1=O,Val,4.838631998,44.92,,39.95,ALV-triazole
O=C(N1C2CCC(NC2=O)=O)C=C(NC3=CC=C(C4=CN(CCC5=CC(Cl)=C(C(F)(F)F)C=C5)N=N4)C=C3)C1=O,Val,4.724458312,40.87,,48.29,ALV-triazole
O=C(N1)CCC(N(C(C(NC2=CC=CC(C(N=N3)=CN3CC4=CC=C(C(F)(F)F)C(Cl)=C4)=C2)=C5)=O)C5=O)C1=O,Val,,53.15,5.823908741,55.12,ALV-triazole
