SMILES,Pred_ZBTB11_pDC50,Pred_ZBTB11_Dmax,Pred_IKZF1_pDC50,Pred_IKZF1_Dmax,ZBTB11_Efficiency,IKZF1_Efficiency,Selectivity_Score
O=C1C2=CC=C(NC(CN(CCCC3=CC=C(OC)C=C3)C4CCCC4)=O)C=C2CN1C5CCC(NC5=O)=O,6.1708064,16.863457,5.247134,37.507683,1.0406113,1.9680785,-0.9274672
COC1=CC=C(C2(CCC2)NS(NC3=CC(C4)=C(C=C3)C(N4C(C(N5)=O)CCC5=O)=O)(=O)=O)C=C1,5.9038525,35.670853,5.9975495,54.576874,2.1059544,3.2732751,-1.1673207
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)CNCC4=CC=CC=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.9527903,30.83829,6.0969667,52.677822,1.8357387,3.2117493,-1.3760107
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)CNCC4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.9903064,26.97887,6.073971,50.274776,1.616117,3.0536754,-1.4375584
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C(NCCC4=CC=C(OC)C=C4)=O)=O)=C5)=C5C2)=O)C(N1)=O,5.975334,25.800581,6.1911554,50.42243,1.5416709,3.121731,-1.5800601
O=C1C2=CC=C(NC(CN(CC3)CCN3C4=CC=C(OC)C=C4)=O)C=C2CN1C5CCC(NC5=O)=O,6.1291404,13.528406,5.982412,40.827522,0.82917506,2.4424706,-1.6132956
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C(NCC4=CC=CC=C4)=O)=O)=C5)=C5C2)=O)C(N1)=O,5.8819213,32.114452,6.503315,56.673954,1.8889468,3.6856859,-1.7967391
O=C1C2=CC=CC(NC(NC3(CCC3)C4=CC=C(OC)C=C4)=O)=C2CN1C5CCC(NC5=O)=O,5.7832503,34.461693,7.261721,64.17581,1.9930059,4.660269,-2.667263
O=C1C2=CC=C(NC3=C(NC4(CCC4)C5=CC=C(OC)C=C5)C(C3=O)=O)C=C2CN1C6CCC(NC6=O)=O,5.6818666,36.27955,7.6102614,67.60786,2.0613556,5.1451344,-3.0837789
O=C1CCC(N2C(C(C=CC(NC(NC3(CCC3)C4=CC=CC5=C4C=C(OC)C=C5)=O)=C6)=C6C2)=O)C(N1)=O,5.6738873,35.30835,7.775662,68.0794,2.003356,5.293624,-3.290268
O=C1CCC(N2C(C(C=CC(NC(NC3(C4=CC=CC(OC5=CC=CC=C5)=C4)CCC3)=O)=C6)=C6C2)=O)C(N1)=O,5.6021295,38.120445,7.8462667,70.178665,2.1355567,5.5064054,-3.3708487
