SMILES,Pred_ZBTB11_pDC50,Pred_ZBTB11_Dmax,Pred_IKZF1_pDC50,Pred_IKZF1_Dmax,ZBTB11_Efficiency,IKZF1_Efficiency,Selectivity_Score
O=C1C2=CC=C(NC3=C(NC4(CCC4)C5=CC=C(OC)C=C5)C(C3=O)=O)C=C2CN1C6CCC(NC6=O)=O,5.35583,13.798641,6.6039343,39.486168,0.7390318,2.6076405,-1.8686087
O=C1CCC(N2C(C(C=CC(NC(N(C)C3(CCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.3752213,15.443102,6.6118755,40.967743,0.8301009,2.7087362,-1.8786353
O=C1CCC(N2C(C(C=CC(NC(NC3(CCC3)C4=CC=CC5=C4C=C(OC)C=C5)=O)=C6)=C6C2)=O)C(N1)=O,5.354257,13.759243,6.612774,39.644623,0.73670524,2.6216092,-1.8849039
O=C1C2=CC=CC(NC(NC3(CCC3)C4=CC=C(OC)C=C4)=O)=C2CN1C5CCC(NC5=O)=O,5.390824,20.005075,6.6641264,44.845303,1.0784384,2.9885478,-1.9101094
O=C1CCC(N2C(C(C=CC(NC(NC3(C4=CC=CC(OC5=CC=CC=C5)=C4)CCC3)=O)=C6)=C6C2)=O)C(N1)=O,5.369136,18.711296,6.674816,43.710476,1.0046349,2.917594,-1.9129591
O=C1CCC(N2C(C(C=CC(NC(NC3(CCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.39478,20.722364,6.6736345,45.46418,1.117926,3.0341132,-1.9161872
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.404242,20.476402,6.6720643,45.419796,1.1065943,3.0304382,-1.9238439
COC1=CC=C(C2(CCC2)NS(NC3=CC(C4)=C(C=C3)C(N4C(C(N5)=O)CCC5=O)=O)(=O)=O)C=C1,5.4319124,28.629517,6.725413,52.02374,1.5551304,3.4988112,-1.9436809
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)CNCC4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.4281178,23.977776,6.7053227,48.600372,1.3015419,3.258812,-1.95727
O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)CNCC4=CC=CC=C4)=O)=C5)=C5C2)=O)C(N1)=O,5.4387393,27.466562,6.7421007,51.4175,1.4938347,3.4666197,-1.972785
