Endpoint,N_Valid_Points,RMSE,MAE,R²,Pearson_r
zbtb11_3nM,8,1.323,1.132,-0.058,-0.256
zbtb11_10nM,8,2.129,2.009,-1.118,-0.456
zbtb11_30nM,8,3.238,3.149,-15.34,0.51
zbtb11_100nM,8,5.513,5.144,-4.626,-0.195
zbtb11_300nM,8,7.37,7.241,-28.015,0.041
zbtb11_1uM,8,8.86,8.723,-33.947,0.057
zbtb11_3uM,8,7.249,6.696,-4.024,0.72
zbtb11_10uM,8,7.091,5.774,-1.554,0.4
zbtb11_30uM,8,13.347,11.029,0.173,0.867
zbtb11_100uM,8,29.046,24.78,-0.116,0.895
ikzf1_3nM,8,6.287,4.527,-0.02,-0.057
ikzf1_10nM,8,13.192,10.798,0.019,0.278
ikzf1_30nM,8,21.881,18.901,-0.01,-0.051
ikzf1_100nM,8,25.005,20.661,-0.034,-0.34
ikzf1_300nM,8,25.594,20.565,-0.035,-0.338
ikzf1_1uM,8,23.963,20.034,-0.065,-0.469
ikzf1_3uM,8,24.535,19.633,-0.097,-0.586
ikzf1_10uM,8,24.396,21.124,-0.161,-0.713
ikzf1_30uM,8,25.619,21.619,-0.435,-0.808
ikzf1_100uM,8,24.73,20.455,-1.092,-0.665
