Endpoint,N_Valid,RMSE,MAE,R²,Pearson_r
zbtb11_3nM,8,1.195,1.033,0.137,0.581
zbtb11_10nM,8,1.97,1.838,-0.815,-0.041
zbtb11_30nM,8,3.45,3.325,-17.556,0.493
zbtb11_100nM,8,5.238,5.002,-4.078,0.756
zbtb11_300nM,8,7.75,7.639,-31.086,0.722
zbtb11_1uM,8,10.391,9.919,-47.069,-0.291
zbtb11_3uM,8,8.89,8.518,-6.557,0.655
zbtb11_10uM,8,5.86,5.141,-0.744,0.715
zbtb11_30uM,8,8.838,7.613,0.637,0.855
zbtb11_100uM,8,21.262,17.588,0.402,0.871
ikzf1_3nM,8,6.711,4.373,-0.162,-0.279
ikzf1_10nM,8,14.243,11.192,-0.144,-0.345
ikzf1_30nM,8,27.878,23.366,-0.639,-0.627
ikzf1_100nM,8,32.992,28.39,-0.8,-0.585
ikzf1_300nM,8,35.422,31.453,-0.982,-0.616
ikzf1_1uM,8,34.698,31.415,-1.233,-0.596
ikzf1_3uM,8,35.309,32.135,-1.273,-0.54
ikzf1_10uM,8,33.674,29.522,-1.211,-0.48
ikzf1_30uM,8,33.89,31.398,-1.512,-0.512
ikzf1_100uM,8,29.181,25.709,-1.914,-0.405
