Endpoint,N_Valid_Points,RMSE,MAE,R²,Pearson_r
zbtb11_3nM,8,1.04,0.89,0.346,0.78
zbtb11_10nM,8,1.949,1.494,-0.777,-0.014
zbtb11_30nM,8,2.94,1.921,-12.467,0.054
zbtb11_100nM,8,3.044,2.411,-0.715,0.937
zbtb11_300nM,8,6.119,4.482,-19.003,0.795
zbtb11_1uM,8,9.29,7.311,-37.423,-0.302
zbtb11_3uM,8,8.566,5.386,-6.017,0.182
zbtb11_10uM,8,9.062,6.085,-3.17,0.456
zbtb11_30uM,8,15.187,11.945,-0.071,0.336
zbtb11_100uM,8,29.327,24.851,-0.138,0.289
ikzf1_3nM,8,7.48,4.621,-0.443,-0.353
ikzf1_10nM,8,17.487,11.742,-0.725,-0.52
ikzf1_30nM,8,29.316,20.826,-0.813,-0.596
ikzf1_100nM,8,34.333,24.712,-0.949,-0.567
ikzf1_300nM,8,37.286,26.835,-1.196,-0.611
ikzf1_1uM,8,35.233,28.031,-1.302,-0.518
ikzf1_3uM,8,33.364,27.53,-1.029,-0.322
ikzf1_10uM,8,30.204,23.595,-0.779,-0.089
ikzf1_30uM,8,28.231,21.945,-0.743,0.103
ikzf1_100uM,8,27.6,22.843,-1.606,0.056
