SMILES,zbtb11_100uM,zbtb11_30uM,zbtb11_10uM,zbtb11_3uM,zbtb11_1uM,zbtb11_300nM,zbtb11_100nM,zbtb11_30nM,zbtb11_10nM,zbtb11_3nM,ikzf1_100uM,ikzf1_30uM,ikzf1_10uM,ikzf1_3uM,ikzf1_1uM,ikzf1_300nM,ikzf1_100nM,ikzf1_30nM,ikzf1_10nM,ikzf1_3nM,True_ZBTB11_AUC,True_IKZF1_AUC,SupCon_Class
C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,96.40544915,96.47288913,96.54032911,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38.73003463,40.14017648,43.82609181,44.38456383,45.64112588,53.55746677,59.32369038,91.91751368,100.0,100.0,447.85472652888654,275.6648076350161,2
CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,43.18871805,45.83292528,56.89942219,59.05396141,66.39898149,67.4762511,78.15101361,92.74312016,100.0,100.0,,,,,,,,,,,320.713006236142,,0
CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,35.25609637,34.08089315,32.61188914,46.02879248,53.08001175,65.41964548,68.74938791,89.11957693,96.95426501,97.73773382,33.63397744,22.05964481,17.82921926,20.44007595,22.00379761,26.19233776,37.85044119,74.15810343,94.975148,100.0,277.7920544548868,192.69156723032404,3
CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,53.17794535,53.17794535,54.94075017,55.43041818,63.26510626,70.41425913,77.85721281,89.02164333,96.3666634,100.0,19.54652072,17.24282363,14.65989054,15.97229979,15.19043896,15.65117838,17.99676086,28.81715626,69.71825087,89.06930638,320.28374524961407,126.02085334081707,2
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3,28.05503102,46.29754518,65.51793903,73.20609657,77.65713515,80.15241435,91.75209064,100.0,96.877529,97.8216887,27.49078521,24.5588071,27.1277784,31.31631855,38.43683681,52.34279013,60.84552664,71.91025355,98.94029934,100.0,348.63950559359915,236.0704161627049,3
ClC1=C(C(F)(F)F)C=CC(CCNC(C2=CC=CC=C2)C3=CC=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=C3)=C1,62.08990305,71.68739595,79.32621682,86.2795025,85.00636568,88.72784252,95.8769954,98.42326902,100.0,100.0,32.544957,35.70032391,37.64101419,42.54160617,46.01809449,55.93097286,65.04802859,72.07779515,100.0,100.0,395.04047650969784,262.13138808469813,3
CC(NCCCC1=CC(Cl)=C(C=C1)C(F)(F)F)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,73.25433356,72.37293115,71.39359514,85.39810009,82.06835765,83.92909607,87.65057291,90.29478014,92.93898737,100.0,50.75114487,75.84748129,65.71819502,17.01943483,18.79258349,19.99329834,23.42790126,34.42980007,74.21395063,99.34519156,378.318714533117,203.96241449684692,2
O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(S(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)(=O)=O)=CC=C3,53.47174616,70.61012633,84.90843208,95.48526099,99.01087063,95.19146019,97.73773382,98.91293703,100.0,100.0,51.11415168,50.61152686,76.22444991,91.80581928,98.28409472,100.0,100.0,100.0,100.0,100.0,411.0519675690616,397.9701343972705,2
CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=C(C)C=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,73.32216419,84.35990933,95.98896225,94.8063467,80.12220361,100.0,100.0,100.0,100.0,100.0,17.78733385,17.10320563,22.92527644,25.89913995,30.47861052,39.07907964,54.96760862,83.94532559,100.0,100.0,422.95194881546996,217.99336986170212,2
CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=C(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)C=C2)C,84.68434103,85.06580202,88.11748999,94.41159641,100.0,100.0,100.0,100.0,100.0,100.0,45.82780567,84.85448958,51.87324724,33.45144335,37.33060169,42.30129809,50.26112949,67.07081563,80.52192312,89.82518598,432.0812024653462,259.29750712873806,2
