Compound_ID,SMILES,Seed,ipTM_ikzf1,pTM_ikzf1,pLDDT_ikzf1,Ranking_Score_ikzf1,Early_Stopped_ikzf1,Min_Dist_Angstrom_ikzf1,Dist_Status_ikzf1,Flagged_Greater_Than_10A_ikzf1,Fraction_Success_Under_10A_ikzf1,OpenMM_Minimized_Energy_kJ_mol,OpenMM_Minimized_Energy_kJ_mol_ikzf1
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,42,0.9434310793876648,0.956096887588501,0.8693,0.946,False,3.172813,Success,False,1.0,,
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,43,0.9429647922515868,0.955941915512085,0.8698,0.9456,False,3.198748,Success,False,1.0,,
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,44,0.9428679347038268,0.955819845199585,0.8696,0.9455,False,3.24979,Success,False,1.0,,
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,45,0.942940592765808,0.9559451341629028,0.8697,0.9455,False,3.3018558,Success,False,1.0,,
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,46,0.9427409768104552,0.9558109045028688,0.8699,0.9454,False,3.2184877,Success,False,1.0,,
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,47,0.943483293056488,0.9561262726783752,0.8696,0.946,False,3.2111516,Success,False,1.0,,
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,48,0.9429096579551696,0.9558225870132446,0.8694,0.9455,False,3.226722,Success,False,1.0,,
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,49,0.9429593086242676,0.9559170603752136,0.8699,0.9456,False,3.237013,Success,False,1.0,,
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,50,0.9423049092292786,0.9556155800819396,0.8696,0.945,False,3.2194657,Success,False,1.0,,
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,51,0.9432276487350464,0.9560121297836304,0.8694,0.9458,False,3.1895812,Success,False,1.0,,
ALV-05-184,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,42,0.7283965349197388,0.8459435105323792,0.8585,0.7519,False,2.9334943,Success,False,1.0,,-20717.035839676857
