Molecule,SMILES,zbtb11_100uM,zbtb11_30uM,zbtb11_10uM,zbtb11_3uM,zbtb11_1uM,zbtb11_300nM,zbtb11_100nM,zbtb11_30nM,zbtb11_10nM,zbtb11_3nM,ikzf1_100uM,ikzf1_30uM,ikzf1_10uM,ikzf1_3uM,ikzf1_1uM,ikzf1_300nM,ikzf1_100nM,ikzf1_30nM,ikzf1_10nM,ikzf1_3nM
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,96.40544915,96.47288913,96.54032911,103.9587267,103.3517669,103.216887,104.0261667,102.3401673,100.047208,101.6657675,38.73003463,40.14017648,43.82609181,44.38456383,45.64112588,53.55746677,59.32369038,91.91751368,101.341729,100.9507986
ALV-05-184,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,43.18871805,45.83292528,56.89942219,59.05396141,66.39898149,67.4762511,78.15101361,92.74312016,101.7530115,107.4331603,,,,,,,,,,
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,35.25609637,34.08089315,32.61188914,46.02879248,53.08001175,65.41964548,68.74938791,89.11957693,96.95426501,97.73773382,33.63397744,22.05964481,17.82921926,20.44007595,22.00379761,26.19233776,37.85044119,74.15810343,94.975148,100.1410142
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,53.17794535,53.17794535,54.94075017,55.43041818,63.26510626,70.41425913,77.85721281,89.02164333,96.3666634,103.2220155,19.54652072,17.24282363,14.65989054,15.97229979,15.19043896,15.65117838,17.99676086,28.81715626,69.71825087,89.06930638
JWJ-01-208,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3,28.05503102,46.29754518,65.51793903,73.20609657,77.65713515,80.15241435,91.75209064,100.4518479,96.877529,97.8216887,27.49078521,24.5588071,27.1277784,31.31631855,38.43683681,52.34279013,60.84552664,71.91025355,98.94029934,100.783257
JWJ-01-212,ClC1=C(C(F)(F)F)C=CC(CCNC(C2=CC=CC=C2)C3=CC=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=C3)=C1,62.08990305,71.68739595,79.32621682,86.2795025,85.00636568,88.72784252,95.8769954,98.42326902,102.8302811,108.3145627,32.544957,35.70032391,37.64101419,42.54160617,46.01809449,55.93097286,65.04802859,72.07779515,103.8897576,103.1428013
JWJ-01-216,CC(NCCCC1=CC(Cl)=C(C=C1)C(F)(F)F)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,73.25433356,72.37293115,71.39359514,85.39810009,82.06835765,83.92909607,87.65057291,90.29478014,92.93898737,100.9695427,50.75114487,75.84748129,65.71819502,17.01943483,18.79258349,19.99329834,23.42790126,34.42980007,74.21395063,99.34519156
JWJ-01-218,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(S(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)(=O)=O)=CC=C3,53.47174616,70.61012633,84.90843208,95.48526099,99.01087063,95.19146019,97.73773382,98.91293703,100.7736754,101.4592107,51.11415168,50.61152686,76.22444991,91.80581928,98.28409472,102.4028259,100.5877918,101.4185189,107.4639786,102.9962024
JWJ-01-219,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=C(C)C=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,73.32216419,84.35990933,95.98896225,94.8063467,80.12220361,101.4092835,102.2962452,101.6063861,103.4788607,100.8179758,17.78733385,17.10320563,22.92527644,25.89913995,30.47861052,39.07907964,54.96760862,83.94532559,102.884508,106.2353401
JWJ-01-222,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=C(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)C=C2)C,84.68434103,85.06580202,88.11748999,94.41159641,111.0051497,109.4793057,110.0514972,114.8197597,112.9124547,112.5309937,45.82780567,84.85448958,51.87324724,33.45144335,37.33060169,42.30129809,50.26112949,67.07081563,80.52192312,89.82518598
JWJ-01-227,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC(C)=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,55.28727703,56.46989258,83.37439637,105.2527841,103.577412,100.4237706,97.2701291,104.2672711,101.8034887,107.3223613,65.57624813,70.47977296,59.66514971,73.93910897,79.24566324,86.51698601,96.54234328,96.29044988,96.29044988,94.54398898
JWJ-01-231,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC(C)=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C,95.49620578,100.9165271,96.58027003,101.0150783,105.7455406,94.51069282,102.887553,99.14260373,101.0150783,100.1281167,63.69544409,90.46331592,102.2267376,98.60786915,96.35762145,99.57346051,100.8077382,94.86305396,94.81267528,97.41557373
JWJ-01-235,ClC1=CC(CN2CCC(C3=CC(NC(C(N4C5CCC(NC5=O)=O)=O)=CC4=O)=CC=C3)CC2)=CC=C1C(F)(F)F,76.96856214,82.29033212,91.94835912,93.13097467,93.72228245,95.10200059,99.93101409,100.7194245,104.2672711,103.6759633,65.50907656,79.14490588,87.0543586,90.2785941,94.14095955,97.83539606,96.92857983,96.32403567,94.52719609,94.34247426
