Molecule,SMILES
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
ALV-05-184,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C
JWJ-01-200,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC
JWJ-01-203,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C
JWJ-01-208,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)CC)=CC=C3
JWJ-01-212,ClC1=C(C(F)(F)F)C=CC(CCNC(C2=CC=CC=C2)C3=CC=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=C3)=C1
JWJ-01-216,CC(NCCCC1=CC(Cl)=C(C=C1)C(F)(F)F)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C
JWJ-01-218,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(S(NCCC4=CC(Cl)=C(C(F)(F)F)C=C4)(=O)=O)=CC=C3
JWJ-01-219,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=C(C)C=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C
JWJ-01-222,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC=C(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)C=C2)C
JWJ-01-227,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC(C)=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C
JWJ-01-231,CC(NCCC1=CC(Cl)=C(C(F)(F)F)C=C1)(C2=CC(C)=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)C
JWJ-01-235,ClC1=CC(CN2CCC(C3=CC(NC(C(N4C5CCC(NC5=O)=O)=O)=CC4=O)=CC=C3)CC2)=CC=C1C(F)(F)F
JWJ-01-237,O=C(N(C1CCC(NC1=O)=O)C2=O)C=C2NC3=CC=CC(C4CCN(CCC(C=C5)=CC(Cl)=C5C(F)(F)F)CC4)=C3
JWJ-01-237-BP,O=C(N(C1CCC(NC1=O)=O)C2=O)C=C2NC3=CC=CC(C4CCN(CCC(C=C5)=CC=C5C(F)(F)F)CC4)=C3
JWJ-01-238,O=C(N(C1CCC(NC1=O)=O)C2=O)C=C2NC3=CC=CC(C4CCN(CCC(C=C5)=CC=C5C(F)(F)F)CC4)=C3
JWJ-01-245,O=C(N1C2CCC(NC2=O)=O)C=C(NC3=CC=C(C4=CN(CC(C=C5)=CC(Cl)=C5C(F)(F)F)N=N4)C=C3)C1=O
JWJ-01-248,O=C(N1C2CCC(NC2=O)=O)C=C(NC3=CC=C(C4=CN(CCC5=CC(Cl)=C(C(F)(F)F)C=C5)N=N4)C=C3)C1=O
JWJ-01-251,O=C(N1)CCC(N(C(C(NC2=CC=CC(C(N=N3)=CN3CC4=CC=C(C(F)(F)F)C(Cl)=C4)=C2)=C5)=O)C5=O)C1=O
JWJ-01-252,CC(NCCC1=CC=CC=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC
JWJ-01-254,O=C(N1)CCC(N(C(C(NC2=CC=CC(C(N=N3)=CN3CCC(C=C4Cl)=CC=C4C(F)(F)F)=C2)=C5)=O)C5=O)C1=O
JWJ-01-259,CC(NCCC1=CC=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC
JWJ-01-260,CC(NCCC1=CC=C(OC)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC
JWJ-01-261,CC(NCCC1=CC=C(C)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC
JWJ-01-265,CC(NCCC1=CC=C(OC)C(Cl)=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC
JWJ-01-266,CC(NCCC1=CC=C(Cl)C(C(F)(F)F)=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC
JWJ-01-267,CC(NCCC1=CC=CC(Cl)=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC
JWJ-01-272,CC(NCCC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC
JWJ-01-273,CC(NCCC1=CC=C(C(F)(F)F)C=C1C(F)(F)F)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC
JWJ-01-274,CC(NCCC1=CC(Cl)=C(Cl)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC
JWJ-01-275,CC(NCCC1=CC=CC(C(F)(F)F)=C1Cl)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC
JWJ-01-276,CC(NCCC1=CC=C(C(F)(F)F)C=C1Cl)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC
JWJ-01-277,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCCC5=CC(Cl)=C(C(F)(F)F)C=C5)=CC=C3
JWJ-01-279,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCCC4)NCCC5=CC(Cl)=C(C(F)(F)F)C=C5)=CC=C3
